0	بیت کوین	Bitcoin	BTC	20489.29	6,693,646,200	1.61%	1401/04/2 12:04
1	اتریوم	Ethereum	ETH	1097.84	358,653,300	1.83%	1401/04/2 12:04
2	بایننس کوین	Binance Coin	BNB	222.84	72,799,600	2.75%	1401/04/2 12:04
3	تتر	Tether	USDT	0.999189	326,160	0.02%	1401/04/2 12:04
4	یو اس دی کوین	USD Coin	USDC	1.0	326,700	0.00%	1401/04/2 12:04
5	BNB	BNB	BNB	222.84	72,799,600	2.75%	1401/04/2 12:04
6	بایننس یو اس دی	Binance USD	BUSD	0.999007	326,400	0.09%	1401/04/2 12:04
7	کاردانو	Cardano	ADA	0.472518	154,400	0.86%	1401/04/2 12:04
8	ریپل	Ripple	XRP	0.326393	106,600	1.13%	1401/04/2 12:04
9	سولانا	Solana	SOL	36.26	11,845,800	5.22%	1401/04/2 12:04
11	دوج کوین	Dogecoin	DOGE	0.06412	20,900	2.60%	1401/04/2 12:04
12	پولکا دات	Polkadot	DOT	7.62	2,489,400	0.53%	1401/04/2 12:04
13	هگز	HEX	HEX	0.041888	13,700	0.95%	1401/04/2 12:02
15	دای	Dai	DAI	1.0	326,700	0.03%	1401/04/2 09:47
16	Wrapped TRON	Wrapped TRON	WTRX	0.064077	20,900	0.71%	1401/04/2 12:02
17	ترون	TRON	TRX	0.064192	21,000	0.86%	1401/04/2 12:04
19	یو ان یو اس سد لئو	UNUS SED LEO	LEO	5.92	1,934,000	2.78%	1401/04/2 12:01
20	شیبا اینو	SHIBA INU	SHIB	1e-05	3	11.11%	1401/04/2 12:04
21	رپد بیت کوین	Wrapped Bitcoin	WBTC	20501.05	6,697,488,000	1.67%	1401/04/2 12:04
22	آوالانچ	Avalanche	AVAX	17.41	5,687,700	6.03%	1401/04/2 12:04
24	یوکَش	yOUcash	YOUC	0.500114	163,400	0.02%	1401/04/2 12:02
25	پالیگان	Polygon	MATIC	0.503317	164,400	8.73%	1401/04/2 12:04
26	لایت کوین	Litecoin	LTC	55.21	18,036,600	6.28%	1401/04/2 12:04
27	یونی سواپ	Uniswap	UNI	5.22	1,705,300	0.77%	1401/04/2 12:04
28	Lido Staked ETH	Lido Staked ETH	STETH	1041.53	340,257,400	2.22%	1401/04/2 12:02
29	اف تی ایکس توکن	FTX Token	FTT	25.8	8,428,600	0.78%	1401/04/2 12:02
30	چین لینک	Chainlink	LINK	6.97	2,277,000	4.97%	1401/04/2 12:04
31	Cronos	Cronos	CRO	0.118163	38,600	2.37%	1401/04/2 12:04
32	استلار	Stellar	XLM	0.11653	38,100	2.52%	1401/04/2 12:04
34	نیر پروتکل	NEAR Protocol	NEAR	3.46	1,130,300	3.59%	1401/04/2 11:59
35	بیت تورنت	BitTorrent	BTT	0.002329	800	0.00%	1401/04/2 12:04
36	الگوراند	Algorand	ALGO	0.324337	106,000	1.08%	1401/04/2 12:04
37	بیت کوین کش	Bitcoin Cash	BCH	116.61	38,095,300	1.41%	1401/04/2 12:04
38	کازماز	Cosmos	ATOM	7.67	2,505,700	4.50%	1401/04/2 12:04
39	بیتکوین بی ای پی 2	Bitcoin BEP2	BTCB	20517.5	6,702,862,100	1.44%	1401/04/2 12:02
40	اتریوم کلاسیک	Ethereum Classic	ETC	15.63	5,106,200	1.56%	1401/04/2 12:04
41	مونرو	Monero	XMR	116.69	38,121,500	1.75%	1401/04/2 12:04
